,,Notes,Status,Token_Id,Name,Description,Image,Season,Batch,Episode,Rarity,Genus,Faction,Status,Allegiance,Hair,Eyes,Mouth,Beard,Neck,HeadPiece,Glasses,Facial Accessory,Clothing,Equipment 1,Equipment 2,Weapon 1,Weapon 2,Skill 1,Skill 2,Background,
,,,,1,,,,Genesis,1,None,Standard,Nugz,Citizen,Elder,Ally,,Black Eyes,Regular,None,Nugz,Brown Cowboy Hat,Black & Orange Sunglasses,None,Black TurtleNeck,None,None,None,None,Unknown,Unknown,Blue,
,,,,2,,,,Genesis,1,None,Standard,Nugz,Citizen,Elder,Ally,,Dark Blue Eyes,Regular,Grey Beard,Nugz,None,Red Round Sunglasses,Pink Vape,Black Hoodie,None,None,None,None,Unknown,Unknown,Blue,
,,,,3,,,,Genesis,1,None,Standard,Nugz,Citizen,Elder,Ally,Short Brown Hair,Dark Blue Eyes,Regular,None,Nugz,None,White & Blue Sunglasses,Blue Vape,Black TurtleNeck,None,None,None,None,Unknown,Unknown,Blue,
,,,,4,,,,Genesis,1,None,Standard,Nugz,Citizen,Elder,Ally,Short Purple Hair,Dark Blue Eyes,Regular,None,Nugz,None,None,None,None,None,None,None,None,Unknown,Unknown,Yellow,
,,,,5,,,,Genesis,1,None,Standard,Nugz,Citizen,Elder,Ally,None,Third Eye,Regular,None,Nugz,None,None,Blue Vape,Blue TurtleNeck,None,None,None,None,Unknown,Unknown,Red,
,,,,6,,,,Genesis,1,None,Standard,Nugz,Citizen,Elder,Ally,,Dark Blue Eyes,Regular,None,Nugz,Brazil Head-Band,VR Goggles,None,Black TurtleNeck,None,None,None,None,Unknown,Unknown,Blue,
,,,,7,,,,Genesis,1,None,Standard,Nugz,Citizen,Elder,Ally,None,Brown Eyes,Regular,None,Nugz,Brazil Head-Band,Orange Round Sunglasses,Blue Vape,Blue TurtleNeck,None,None,None,None,Unknown,Unknown,Green,
,,,,8,,,,Genesis,1,None,Standard,Nugz,Citizen,Elder,Ally,,Bright Green Eyes,Regular,Black Beard,Nugz,None,Black Sunglasses,Cigg,White Hoodie,None,None,None,None,Unknown,Unknown,Red,
,,,,9,,,,Genesis,1,None,Standard,Nugz,Citizen,Elder,Ally,,Brown Eyes,Gagged,Brown Beard,Nugz,None,None,Ball-Gag,Black Hoodie,None,None,None,None,Unknown,Unknown,Red,
,,,,10,,,,Genesis,1,None,Standard,Nugz,Citizen,Elder,Ally,None,Brown Eyes,Regular,None,Nugz,Rasta Head-Band,Red Sunglasses,Cigg,Black TurtleNeck,None,None,None,None,Unknown,Unknown,Red,
,,,,11,,,,Genesis,1,None,Standard,Nugz,Citizen,Elder,Ally,,Dark Blue Eyes,Regular,None,Nugz,Cowboy Mac hat,Kill Bill Eye-Patch,Pink Vape,Black TurtleNeck,None,None,None,None,Unknown,Unknown,Blue,
,,,,12,,,,Genesis,1,None,Standard,Nugz,Citizen,Elder,Ally,None,Black Eyes,Regular,Grey Beard,Nugz,Rasta Head-Band,Orange Round Sunglasses,Blue Vape,Purple TurtleNeck,None,None,None,None,Unknown,Unknown,Red,
,,,,13,,,,Genesis,1,None,Standard,Nugz,Citizen,Elder,Ally,,White Eyes,Regular,None,Nugz,Brown Cowboy Hat,Red Sunglasses,Blue Vape,Black TurtleNeck,None,None,None,None,Unknown,Unknown,Blue,
,,,,14,,,,Genesis,1,None,Standard,Nugz,Citizen,Elder,Ally,Short Black Hair,Dark Blue Eyes,Regular,Brown Beard,Nugz,None,None,Cigg,Black TurtleNeck,None,None,None,None,Unknown,Unknown,Yellow,
,,,,15,,,,Genesis,1,None,Standard,Nugz,Citizen,Elder,Ally,None,Red Eyes,Regular,None,Nugz,Rasta Head-Band,White & Pink Sunglasses,None,None,None,None,None,None,Unknown,Unknown,White,
,,,,16,,,,Genesis,1,None,Standard,Nugz,Citizen,Elder,Ally,None,Black Eyes,Regular,None,Nugz,Brazil Head-Band,None,None,Purple TurtleNeck,None,None,None,None,Unknown,Unknown,Green,
